id,conversation_id,text,context,historical_brand_response,true_intent,expected_action,difficulty_score,notes,human_confirmed
GOLDEN_011,27345_27344,what is this shit? Trying to get Brighton,Customer tweet in thread 27345_27344,Please reach out here so we can check this for you ^KM,general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_012,58082_58080,I highly encourage everyone to NEVER preorder things from they can't provide an update on an item that i should have in 6 days.,Customer tweet in thread 58082_58080,You will be e-mailed with any status updates. You can view communication here: ^AF,general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_013,54401_54400,ive signed up to prime student about a week ago with 6 months free so why is it saying theres a problem with my card?,Customer tweet in thread 54401_54400,I'm sorry for the trouble! Please reach out to us here: so we can look into this with you. ^AH,digital_prime_issue,AUTO_HANDLE,0.4,Digital content or Prime membership inquiry,True
GOLDEN_014,56861_56863,I’ve called to customer service and they were very helpful and solved the situation to perfection. Thank you!,Customer tweet in thread 56861_56863,Thanks for the feedback! Glad we could provide awesome service for you! Be sure to fill out the survey sent to your e-mail! ^KN,general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_015,58159_58160,"Everything went wrong in last 1 year. Every genuine concern is ignored with a Blind Eye. Seller Support, Escalation Support all failed.",Customer tweet in thread 58159_58160,We'd like to take a closer look into this. Please fill in this form: and we'll look into it. ^SQ,general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_016,61047_61046,#AmazonIndia worst service. Almost a month has passed but my refund still not processed. Executive are giving fake assurance every time when I call them. They say that I am handling your concern from now and when I call next time the new one say may I know your problem.,Customer tweet in thread 61047_61046,I’m sorry about this experience. Please share your details here: and I'll get in touch with you. ^MK,refund_request,AUTO_HANDLE,0.3,Standard refund request,True
GOLDEN_017,44503_44504,Die Bonbons die jede(r) Vielbahnfahrer(in) kennt! :3,Customer tweet in thread 44503_44504,"Jetzt kann ich die Dringlichkeit noch besser nachvollziehen. 🍬😍 Ich hoffe, dein Zuckerschock-Pegel ist noch im grünen Bereich? 😅 ^SI",general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_018,11974_11973,My Halloween costume is a day late. Can you help?,Customer tweet in thread 11974_11973,I'm so sorry we've let you down. Please reach us here: so we can explore options with you. ^LL,delivery_delay,AUTO_HANDLE,0.2,Standard delivery tracking inquiry,True
GOLDEN_019,18408_18407,amazon japan still hasn’t verified my bank account and i’m getting STRESSED,Customer tweet in thread 18408_18407,"We can't confirm your account details via Twitter, so please contact JP Customer service at: TN",account_access,AUTO_HANDLE,0.4,Account login / access issue,True
GOLDEN_020,83340_83342,What the Hell is this ??? This is how u cheat with us ??,Customer tweet in thread 83340_83342,I'm sorry about the trouble with the order received. Definitely not an intended experience for our customers. We'd like to help. Kindly report it to our support team here: and we'll have this resolved at the earliest. 1/2 ^KH,general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_021,27410_27407,help. I’m asking for 2 tickets,Customer tweet in thread 27410_27407,"Hi, please get in touch with us here: &amp; we'll look into this for you. ^TS",general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_022,81248_81250,スマホからの登録は可能ですか？,Customer tweet in thread 81248_81250,はい、スマートフォンからでもご登録いただけます。 SM,general_inquiry,ESCALATE,0.8,Short ambiguous message (< 4 words),True
GOLDEN_023,11979_11978,don't promise a 1 day shipping with a GUARANTEED 8pm delivery when you can't keep it,Customer tweet in thread 11979_11978,Oh no! Have we missed the estimated delivery date showing in your order confirmation e-mail? We're here to help! ^ML,delivery_delay,AUTO_HANDLE,0.2,Standard delivery tracking inquiry,True
GOLDEN_024,83539_83540,that is why i have provides my order ID.,Customer tweet in thread 83539_83540,"I'd like to have a closer look into this for further assistance. Would you mind sharing the required details, here: Please don’t provide your details as we consider them to be personal information. Our Twitter page is visible to public. ^YP",general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_025,15279_15278,408-9273159-6369903.replacement ordered from 24th Oct.no1 contact me.Really worst courier service from Amazon,Customer tweet in thread 15279_15278,"Please don’t provide your order details, we consider them as personal information. Our Twitter page is visible to public. ^VM",general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_026,33200_33199,HELP me with order no 171-2257132-6941919 which is not shipped yet.,Customer tweet in thread 33200_33199,"needful. Please don't provide your order details, we consider it to be personal info. Our page is visible to the public. 2/2 ^PR",delivery_delay,AUTO_HANDLE,0.2,Standard delivery tracking inquiry,True
GOLDEN_027,17641_17640,#pathetic customer service. New low in e-commerce. Trying to raise a return request 5 times. #Fail,Customer tweet in thread 17641_17640,Sorry for the trouble while raising a return request. May I know if you have been asked to self return the item? ^SH,return_exchange,AUTO_HANDLE,0.3,Return / label request,True
GOLDEN_028,17203_17205,I dont want to change my order but will not accept. Order # 403-3917499-2913904,Customer tweet in thread 17203_17205,"We'd like to assist you with the issue, kindly provide your details through the link provided above and we'll get back 1/2 ^SH",general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_029,83451_83450,E a nada de me enviar logo meu case do kindle :(,Customer tweet in thread 83451_83450,Oi Barbara! Você poderia nos indicar qual é a data prevista para a entrega? ^NP,digital_prime_issue,AUTO_HANDLE,0.4,Digital content or Prime membership inquiry,True
GOLDEN_030,10647_10646,"paid for next day delivery.. had it confirmed and alas, no package #nothappy",Customer tweet in thread 10647_10646,"I'm so sorry for the wait. If you have a moment, please contact us by chat or phone: ^LH",delivery_delay,AUTO_HANDLE,0.2,Standard delivery tracking inquiry,True
GOLDEN_031,20415_20413,Amazonからの荷物来ないぽよーーーーー,Customer tweet in thread 20415_20413,ご迷惑をおかけしております。状況をお調べした上でご案内させていただきますので、恐れ入りますが、リンクよりカスタマーサービスにお問い合わせください。 TN,general_inquiry,ESCALATE,0.8,Short ambiguous message (< 4 words),True
GOLDEN_032,73554_73555,Merci !,Customer tweet in thread 73554_73555,À votre service,general_inquiry,ESCALATE,0.8,Short ambiguous message (< 4 words),True
GOLDEN_033,8537_8538,why do I pay for 2 day shipping and it's going on 4 days.,Customer tweet in thread 8537_8538,I'm sorry for the wait! Two-Day Shipping refers to transit speed in business days once an order's shipped. (1/2),delivery_delay,AUTO_HANDLE,0.2,Standard delivery tracking inquiry,True
GOLDEN_034,63815_63816,I am waiting to your mail.,Customer tweet in thread 63815_63816,"We are working on it, we will get back to you with an update soon. ^AH",general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_035,21464_21466,No reply from your hand yet,Customer tweet in thread 21464_21466,we receive your details. Kindly share the details here: and I'll contact you soon. (2/2) ^GK,general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_036,21496_21494,Got fake mobiles twice instead of my ordered One Plus 5.Its been 15days since I'm struggling.#Shame #fraud #OnePlus5 #AmazonIndia,Customer tweet in thread 21496_21494,"That's unacceptable indeed, did you report this to our customer service team here: ^SI",general_inquiry,ESCALATE,0.9,Sensitive keyword trigger: fraud,True
GOLDEN_037,49952_49954,"Didn’t get any mail on this, already checked",Customer tweet in thread 49952_49954,"If you haven't received any correspondence, request you to share your (1/2)^SQ",general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_038,89278_89276,Grazie . Mi rendi una Santa Lucia migliore.,Customer tweet in thread 89278_89276,Siamo riusciti a farti fare dei bei regali? 😊 ^EA,general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_039,18174_18175,Your customer service has reverted saying that apparently the package has been delivered and signed by receipt my yesterday. Not true.,Customer tweet in thread 18174_18175,Sorry for the trouble with the delivery. Kindly drop in your details here: and we'll work on it.^NS,delivery_delay,AUTO_HANDLE,0.2,Standard delivery tracking inquiry,True
GOLDEN_040,71910_71908,Hola. vendedor externo. Vendedor: LVWIT LIGHTING,Customer tweet in thread 71910_71908,"En este caso Fran, te recomiendo entrar en contacto con el vendedor para verificar tus opciones. Puedes hacerlo siguiendo estos pasos: ^VL",general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_041,27375_27374,website won't allow me to buy Brighton Morrissey tickets. Always 'exceeded maximum number allowed'. Even if you ask for one,Customer tweet in thread 27375_27374,Please reach out here so we can check this for you ^KM,general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_042,16798_16800,Now with #fraud u guyz have started #lying as well not even a single call has come from your team #poorcustomerservice #fraud,Customer tweet in thread 16798_16800,Sorry about that Aadil. Please respond to this email and we'll check this for you. ^HN,general_inquiry,ESCALATE,0.9,Sensitive keyword trigger: fraud,True
GOLDEN_043,74826_74825,"No new mail received till now, previously you said you're working on it and need some time",Customer tweet in thread 74826_74825,"I understand that you're upset, Srinu. As requested, please respond to the last email that was sent to you by the social media team for further assistance. We will check and assist you further. Appreciate your understanding. ^NK",general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_044,38815_38814,contact me 9897327895,Customer tweet in thread 38815_38814,"Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public.^KS 3/3",general_inquiry,ESCALATE,0.8,Short ambiguous message (< 4 words),True
GOLDEN_045,65806_65807,Both the white and black ones I was looking at were refurbished,Customer tweet in thread 65806_65807,"Hi Kelsey. If you have a moment, could you reach out to us here: so that we can take a look at this with you in real time?^TI",general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_046,58778_58777,Hey there should be no reason why my items should keep arriving bent and bruised up. Please package things more carefully.,Customer tweet in thread 58778_58777,So sorry Lana! Our packaging team would love to hear your feedback. Please provided that here: ^LS,delivery_delay,AUTO_HANDLE,0.2,Standard delivery tracking inquiry,True
GOLDEN_047,57309_57308,娘が誕生日にペロペロキャンディが欲しいと言うのでAmazonで買ったらプチプチ封筒にそのまま入れられてポスト投函って‥これは割れるの前提って事なの‥？,Customer tweet in thread 57309_57308,せっかく誕生日のお祝いとしてご注文いただきました商品に損傷があり、大変ご迷惑をおかけしております。ご注文商品を確認のうえ対応させていただきますびで、お手数ですがリンクよりお問い合わせください。 MH,general_inquiry,ESCALATE,0.8,Short ambiguous message (< 4 words),True
GOLDEN_048,57436_57435,Yeah it’s this,Customer tweet in thread 57436_57435,"Does the book appear in your library: If so, select the book and click deliver to send to Kindle. ^MB",general_inquiry,ESCALATE,0.8,Short ambiguous message (< 4 words),True
GOLDEN_049,73487_73485,I’ve already done that! There is no way to get help for hub problems there.,Customer tweet in thread 73487_73485,Please reach out to your local management or HR who can further assist you with this.^SM,general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_050,35172_35170,"Ordered via , notified its been delivered. Get home, not delivered. Request them to investigate, their response.Salt in the wound",Customer tweet in thread 35172_35170,My apologies Andrew. Was any additional information provided? ^DC,delivery_delay,AUTO_HANDLE,0.2,Standard delivery tracking inquiry,True
GOLDEN_051,10631_10630,"el soporte al cliente de es tan buena onda, que dan ánimos de contactarlos sólo para platicar con ellos :P",Customer tweet in thread 10631_10630,Garcias Jäcob Pintle :). Nos alegra mucho saber que hacemos bien nuestro trabajo. Tratamos de mejorar cada día más. 😃🤝 ^JJ,general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_052,19134_21042,Amazon seller support team is not providing pickup service on time to new seller. We are chasing them from 23rd Oct and lost our 4 orders,Customer tweet in thread 19134_21042,I get your disappointment.Please fill your details in the link provided to you earlier so that we can assist you accordingly.^SC,general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_053,35178_35180,Done!,Customer tweet in thread 35178_35180,Thank you for the update. We received your information. ^CO,general_inquiry,ESCALATE,0.8,Short ambiguous message (< 4 words),True
GOLDEN_054,18941_18940,Amazon is unable to pick return request in last 25 days??,Customer tweet in thread 18941_18940,Apologies for the unpleasant experience. Kindly share your details here: and I'll contact you. ^GS,return_exchange,AUTO_HANDLE,0.3,Return / label request,True
GOLDEN_055,5291_5289,का एकाउंट परमानेंटली डिलीट कैसे करते है?,Customer tweet in thread 5291_5289,Kindly reach out our support team here: for more details on account closure. ^MK,general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_056,36532_36533,I have done it many times,Customer tweet in thread 36532_36533,Please check your correspondence here: (2/2) ^JS,general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_057,83445_83444,messafe to amazon please dont use this company they are complet bull cheats and rude!,Customer tweet in thread 83445_83444,"Oh no! Without providing any personal account information, could you explain what happened? ^GP",general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_058,17672_17670,Hey wth does this mean? How can the iOS app on the phone be offline? #AmazonEcho,Customer tweet in thread 17672_17670,I'm sorry about the error you're seeing! Please try uninstalling and reinstalling the app. Let us know how it goes. ^JP,general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_059,83467_83465,Fucking fuck Amazon took my money and then just canceled my order and didn't return my money. What the actual fuck,Customer tweet in thread 83467_83465,Was your order canceled prior to dispatching? We only charge your account once the order dispatches. When you place an order we ask the bank to put the funds on hold (Authorize). You can find more info here: http: ^MI,order_cancellation,AUTO_HANDLE,0.3,Order cancellation inquiry,True
GOLDEN_060,74669_74670,"Ah mince, c'est dommage Merci pour les renseignements, bonne soirée",Customer tweet in thread 74669_74670,"A votre service, une bonne soirée à vous aussi. ^KD",general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_061,4855_4854,"no luck on receiving the code by text or call, will I loose my account, yesterday a phone representative tried to help already",Customer tweet in thread 4855_4854,I'm sorry for the challenge signing in. Please use the link from above again so that we can help. Keep us updated! ^MH,account_access,AUTO_HANDLE,0.4,Account login / access issue,True
GOLDEN_062,21459_21460,Friend has received his Amazon Echo Plus shipment in the morning today. Still waiting for my dot.,Customer tweet in thread 21459_21460,Our products are shipped on time so that they can reach you by the estimated delivery date. 1/2 ^AH,delivery_delay,AUTO_HANDLE,0.2,Standard delivery tracking inquiry,True
GOLDEN_063,80815_80816,Done.,Customer tweet in thread 80815_80816,Thanks for the heads up. Our team will check and reach out to you with an update soon. Appreciate your patience until then. ^HS,general_inquiry,ESCALATE,0.8,Short ambiguous message (< 4 words),True
GOLDEN_064,80596_80598,"Ok, gracias!",Customer tweet in thread 80596_80598,"Con mucho gusto, estamos para asistirte. ^MB",general_inquiry,ESCALATE,0.8,Short ambiguous message (< 4 words),True
GOLDEN_065,77436_77438,Yep should have had it Monday,Customer tweet in thread 77436_77438,Were you provided a reason for the delay on the tracking for the order?^PJ,general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_066,28918_28920,Inconimg option not availble on the mail id,Customer tweet in thread 28918_28920,Kindly reply to the email you've received from our account specialist team for further assistance on this issue. (2/2) ^RI,general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_067,29532_29534,Subscribe &amp;save delivery stating delivered but not received. Want a redelivery but not getting very far.,Customer tweet in thread 29532_29534,Have you tried getting in touch here: ^BM,delivery_delay,AUTO_HANDLE,0.2,Standard delivery tracking inquiry,True
GOLDEN_068,21086_21085,"Thanks for your ""Same Day Delivery""!! It's not like I was hoping to get my order on my day off or anything. #AMZLFail",Customer tweet in thread 21086_21085,"sorry to hear that, sometimes delays happen for unforeseen reasons. ^AS",general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_069,86061_86060,fala para a Direct Express entregar hoje meu livro dona eu não aguento mais esperar e não chegar 😭,Customer tweet in thread 86061_86060,Oi Emely! Sinto muito o inconveniente! Qual a data estimada de entrega para o seu pedido? ^NP,general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_070,77361_77360,hey how about you ship the ones i already ordered 6 weeks ago first,Customer tweet in thread 77361_77360,"Hi Tommy, without going into personal account information can you please tell us more about this. ^HS",delivery_delay,AUTO_HANDLE,0.2,Standard delivery tracking inquiry,True
GOLDEN_071,617_615,Way to drop the ball on customer service so pissed right now!,Customer tweet in thread 617_615,"I'm sorry we've let you down! Without providing any personal information, will you describe the issue? We'd love to help. ^TN",general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_072,36586_36605,Please take whatever detail you need here.. Posting details on app is not enough,Customer tweet in thread 36586_36605,share your details here: appreciate your understanding. 2/2 ^MJ,general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_073,25915_25916,I recvd another response. Each time response content is same. Not once has my question on amazon pay balance been answered. #amazonsucks,Customer tweet in thread 25915_25916,"If your query hasn't been answered, please share your details here: and I'll get back to you. ^SH",general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_074,21079_21076,", as haven’t replied, could you?",Customer tweet in thread 21079_21076,"Hi, apologies. Carriers should not follow handwritten delivery notes. You can set them on your acc: ^JJ",general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_075,27917_27915,nothing - amazon need to respond!,Customer tweet in thread 27917_27915,"Hi Richard, here is the link to the Brighton event: ^TS",general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_076,89200_89199,"Questioning the helpfulness of help, not sure they even read my question ""Did I place my order wrong?"" #CUSTOMERSERVICEFAIL",Customer tweet in thread 89200_89199,"Hello, What was the date provided to you via email confirmation when you placed the order? Have we missed that date? ^CR",general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_077,63970_63972,Amazon direct,Customer tweet in thread 63970_63972,Thank you for that Dominic. You can find more info on this here:,general_inquiry,ESCALATE,0.8,Short ambiguous message (< 4 words),True
GOLDEN_078,34476_34475,Hey I pre-ordered 's book Slobberknocker on Sept 11th for release on Oct 19th and still nothing. Any status update?,Customer tweet in thread 34476_34475,Oh no! We'd like to help in any way we can. What's the latest status for your order here: ^NM,general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_079,20486_20484,Why Amazon.in prime members are not allowed to access kindle prime reading section?,Customer tweet in thread 20486_20484,Please connect with us here: and we'll help you with this. ^HK,digital_prime_issue,AUTO_HANDLE,0.4,Digital content or Prime membership inquiry,True
GOLDEN_080,21032_21030,"Better yet, what's you customer support email so we can communicate via email? Thanks",Customer tweet in thread 21032_21030,Sorry for the trouble with your account! You're welcome to reach out to us here: ^BG,general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_081,29525_29527,リプライありがとうございます。コミネのネオプレーンハンドルウォーマーを購入したところ左右一組ではなく左が二つのものが届いてしまいました。開封してから気付いてしまったのですが返品、交換したいのですがこの場合どうすればよいでしょうか？,Customer tweet in thread 29525_29527,ご迷惑をお掛けし申し訳ございません。お届けした時点で問題があった場合は、開封後でも返品・交換（可能な商品のみ）は可能です。誠に恐れ入りますが、リンクを参照の上、お手続きください。 TN,general_inquiry,ESCALATE,0.8,Short ambiguous message (< 4 words),True
GOLDEN_082,15694_15693,How many times will the pick-up be rescheduled?,Customer tweet in thread 15694_15693,"Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. ^AK 3/3",general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_083,16827_16825,sure is frustrating to pay $100 a year for Prime and not have my Prime items delivered after 5 days.,Customer tweet in thread 16827_16825,"Two-Day Shipping refers to transit time, in business days, once shipped. Did we miss our mark? ^BE",delivery_delay,AUTO_HANDLE,0.2,Standard delivery tracking inquiry,True
GOLDEN_084,65706_65705,"Delivery was said to have been at 12:44 yesterday. I called in the evening. The 24h wait, is that from my call or 'recorded delivery'?",Customer tweet in thread 65706_65705,"Since you received the confirmation that an investigation is pending, thank you for your patience while the investigation takes place. ^BD",general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_085,22514_22515,"Except that isn't the case. 1 Why not? 2 Why are you sending people to The Works? 3 Why is that book in Home &amp; KItchen? 4 What do you suggest I say to Bonnier when I call their switchboard as you suggest, to find out what Amazon is up to? 5 What is the point of having Prime?",Customer tweet in thread 22514_22515,Please reach out to us here so we can look into this for you Linda ^KM,digital_prime_issue,AUTO_HANDLE,0.4,Digital content or Prime membership inquiry,True
GOLDEN_086,83348_83349,Well as expected my package did not arrive yesterday which was the original date given for delivery,Customer tweet in thread 83348_83349,I'm sorry about this! We want to be sure you are receiving your parcels when they are expected. Please reach out to us directly here so that we can take a look into this for you: We'd like to help! ^ZW,delivery_delay,AUTO_HANDLE,0.2,Standard delivery tracking inquiry,True
GOLDEN_087,32341_32340,"Mal was Nettes sagen: Dickes Lob an &amp; . Gestern ging ein Paket verloren, Nachts gemailt, heute das Geld auf dem Konto.",Customer tweet in thread 32341_32340,"Schön, dass die Kollegen dir so schnell helfen konnten :) ^AN",general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_088,16112_16113,Ahhh okay makes sense :) thank you! I hope my package comes Friday 🙌,Customer tweet in thread 16112_16113,Please keep us posted as we want to make sure your order arrives! ^AG,delivery_delay,AUTO_HANDLE,0.2,Standard delivery tracking inquiry,True
GOLDEN_089,28431_28430,I have had an order frozen for a month. Spoken to reps 5x and it still isn't fixed. Why can't you fix the order?,Customer tweet in thread 28431_28430,That's strange! Sorry to hear this. What did the reps advise? ^PK,general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_090,57432_57431,Viendo el primer episodio de en . Quedé enganchado. Altamente recimendable la #Serie. #AmericanGods. 🎬,Customer tweet in thread 57432_57431,¡Genial Dannicius! ¿Qué es lo que más te ha gustado? 😄📺 ^KS,digital_prime_issue,AUTO_HANDLE,0.4,Digital content or Prime membership inquiry,True
GOLDEN_091,5308_5306,10 hours ago.,Customer tweet in thread 5308_5306,Gotcha- Let us know if you haven't heard back from them on Tuesday. ^BL,general_inquiry,ESCALATE,0.8,Short ambiguous message (< 4 words),True
GOLDEN_092,59529_59527,io devo effettuare un reso posso utilizzare un qualsiasi scatolone?,Customer tweet in thread 59529_59527,"Sì, se non hai più a disposizione la scatola di imballaggio originale, puoi utilizzarne un'altra. ^GD",general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_093,58109_58107,quality work from the delivery driver. Safe place is behind the wheelie bin. #notonbindaywhenitsonthepavement #noparcelanymore,Customer tweet in thread 58109_58107,"Hey Stuart! Thanks for reaching out to us! Just to clarify, was the parcel missing when you went to retrieve it? ^AJ",general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_094,93490_93492,"Si spedizione Amazon, corriere GLS",Customer tweet in thread 93490_93492,"In questo caso, segnalalo al nostro Servizio Clienti da qui: In questo modo i miei colleghi potranno fare tutte le verifiche necessarie. Grazie e a presto! ^EA",general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_095,38807_38806,Anyone out there,Customer tweet in thread 38807_38806,"This may be helpful: If this doesn't help to answer, reach us phone/chat: ^KN",general_inquiry,ESCALATE,0.8,Short ambiguous message (< 4 words),True
GOLDEN_096,64022_64021,"Pourquoi j'ai l'impression que je ne vais jamais recevoir mon colis de chez ?? Nan parce que presque 1 mois pour livrer 2 petites coques de téléphone à 0.98€, je trouve ça un peu limite...",Customer tweet in thread 64022_64021,"Bonjour, quelle est la date de livraison qui vous a été communiquée dans l’e-mail de confirmation de commande s'il vous plaît? ^FA",general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_097,77596_77597,You DUMB people. Did you understand the FACT. I am still in trouble... Because your FE will ask for the Pickup of Origi al order.. Is not ?? After 5 days.. we will on the same page. Mr. what is going on. Mr. if u still there #ShameforAmazon,Customer tweet in thread 77596_77597,I get your concern. Kindly fill in your details here: and we’ll contact you soon and resolve your issue. ^MN,general_inquiry,AUTO_HANDLE,0.6,General support query,False
GOLDEN_098,16448_16446,こんにちは。先日Amazonギフト券チャージのやり方を教えていただいた者です。チャージが終了しアカウントに登録されたのですが、買い物でお支払い方法のコード入力とはどこに書かれてあるのですか？「次に進む」が表示されず買い物できません。どうすれば良いですか？,Customer tweet in thread 16448_16446,こんにちは、お問い合わせありがとうございます。ギフト券をチャージ済みの場合、コード入力は不要です。次に進めないとのことであれば、金額が不足している可能性がございます。出品者発送ですと別途送料が発生したり、お急ぎ便の代金が加算されているということはございませんか。ET,general_inquiry,ESCALATE,0.8,Short ambiguous message (< 4 words),True
GOLDEN_099,73441_73440,ご丁寧にありがとうございます! まだ輸送中となっています,Customer tweet in thread 73441_73440,ご不便をおかけしております。お届け予定日を過ぎても商品が未着の場合、状況をお調べいたしますので発送元をご確認いただきお問い合わせください。 Amazonが発送→ 出品者が発送→ SM,general_inquiry,ESCALATE,0.8,Short ambiguous message (< 4 words),True
