conversation_id,brand,customer_tweet_id,brand_tweet_id,customer_text,brand_text,customer_created_at,brand_created_at
646_644,AmazonHelp,646,644,.@AmazonHelp Item has not been delivered but tracking says it was handed to me over an hour ago... 2nd time this has happened. Sort it out https://t.co/42W82GcARk,@115835 I'm so sorry you didn't receive your parcel! We'd like a chance to look into this with you here: https://t.co/JzP7hlA23B ^SY,Tue Oct 31 21:40:30 +0000 2017,Tue Oct 31 22:25:27 +0000 2017
645_647,AmazonHelp,645,647,@AmazonHelp That page is useless - doesn’t allow me to state it hasn’t been delivered; only tells me it has! How can you sort this out?,@115835 You can also request a call back here Martin https://t.co/zH8UlhTGcc ^KM,Wed Nov 01 08:04:52 +0000 2017,Wed Nov 01 08:11:34 +0000 2017
649_648,AmazonHelp,649,648,"In response to your @115830 packing video, this packaging was for a 2ft washing line pole @115837 https://t.co/X21SQHgC0K",@115836 Thanks for bringing this to our attention! Please also leave packing feedback here: https://t.co/PMiShxgPvp so we may improve.^KL,Tue Oct 31 22:17:47 +0000 2017,Tue Oct 31 22:24:47 +0000 2017
652_650,AmazonHelp,652,650,@AmazonHelp Is it possible to prevent AMZL from delivering my packages moving forward? Stuff is either lost/stolen/broken EVERY time.,@115838 Oh no! We want to hear more about your experience with AMZL. Please provide your feedback here: https://t.co/hApLpMlfHN ^SH,Tue Oct 31 22:11:15 +0000 2017,Tue Oct 31 22:24:47 +0000 2017
651_653,AmazonHelp,651,653,"@AmazonHelp I don't want a form to fill out that logs a response no one reads. I want to prevent AMZL from touching my stuff. Possible, or no?","@115838 Is there a current order you're having difficulties with? Please let us know, we'd like to help! ^KL",Tue Oct 31 22:25:58 +0000 2017,Tue Oct 31 22:52:02 +0000 2017
654_655,AmazonHelp,654,655,@AmazonHelp Already started the return. UPS gets it from my doorstep tomorrow. Order 111-5014070-4118645,@115838 Provide your details here: https://t.co/6f6cWZv7vm and my team will escalate the order to Amazon Logistics for feedback. ^EZ,Tue Oct 31 22:53:50 +0000 2017,Tue Oct 31 23:07:33 +0000 2017
657_656,AmazonHelp,657,656,"@AmazonHelp Already handled, just venting. It was a pretty big bummer.",@115839 Let us know if there’s anything else we can do for you! We're happy to help out any way we can! ^FR,Tue Oct 31 22:18:42 +0000 2017,Tue Oct 31 22:21:10 +0000 2017
659_658,AmazonHelp,659,658,"@115821, it’d be nice if the book I waited 4 months for wasn’t damaged inside of an undented box. #twinpeaks #twin… https://t.co/Lac4K7iQzJ https://t.co/JroqJKrH9Q",@115839 I'm sorry your book arrived this way! You can find replacement/refund options here: https://t.co/zRrkpVcaDF ^VS,Tue Oct 31 22:02:14 +0000 2017,Tue Oct 31 22:11:00 +0000 2017
661_660,AmazonHelp,661,660,@115841 @115821 Feliz #Halloween2017 https://t.co/edHbRDnM8x,@115840 ¡Que lindoooooooooo! 😍🐶🎃 ^JJ https://t.co/YSOVnjaPrO,Tue Oct 31 22:13:37 +0000 2017,Tue Oct 31 22:21:01 +0000 2017
664_663,AmazonHelp,664,663,"@AmazonHelp delivery I paid for today,didn’t arrive.why not?i paid enough for it.where is it??I’m unhappy.refund the delivery charge","@115842 Oh no! Please contact us via phone/chat here: https://t.co/JzP7hlA23B
We're unable to view order details via Twitter. ^KL",Tue Oct 31 21:50:49 +0000 2017,Tue Oct 31 22:20:34 +0000 2017
667_665,AmazonHelp,667,665,"Anna Inspired in idea lab at school to be @115821 package being shipped to Narnia! ""Amazon can go anywhere"" according to Anna. https://t.co/TyvKhuu7su",@115843 You're not lion! She even shows witch way is up! That's quite the wardrobe! ^AC,Tue Oct 31 22:11:10 +0000 2017,Tue Oct 31 22:19:29 +0000 2017
670_668,AmazonHelp,670,668,@115845 They sent the feckin' order to Germany! Some dozy driver is looking for an address in the wrong country! I'm so done with Amazon!,@115844 Oh my! I'm sorry for the troubles! Contact us by Phone or Chat: https://t.co/JzP7hlA23B &amp; we'll be glad to help! ^FR,Tue Oct 31 22:15:42 +0000 2017,Tue Oct 31 22:18:00 +0000 2017
676_675,AmazonHelp,676,675,@115847 @115821 Yeah idk the shipping company and it says “mike Ziemer” signed for it in the mail room at our building lol,@115846 That's okay! Thanks for checking! Please contact us by phone or chat and we can look into this: https://t.co/hApLpMlfHN ^BN,Tue Oct 31 21:39:25 +0000 2017,Tue Oct 31 22:17:27 +0000 2017
681_680,AmazonHelp,681,680,@115821  https://t.co/Gb0beuA3IN,@115848 I'm sorry for the trouble this has caused you; please contact us so we may lend you a hand: https://t.co/hApLpMlfHN ^WM,Tue Oct 31 22:11:34 +0000 2017,Tue Oct 31 22:17:00 +0000 2017
686_684,AmazonHelp,686,684,@AmazonHelp Already contacted 3-4 times in the last month. But all I got was assurance that matter is escalated &amp; new status will be provided in 1 day!,@115849 Please share your details here:https://t.co/GIJyeYqKE0 and I'll get back to you. 2/2 ^HD,Tue Oct 31 22:06:53 +0000 2017,Tue Oct 31 22:17:00 +0000 2017
685_687,AmazonHelp,685,687,@AmazonHelp Details sent. Please check.,@115849 Thanks for confirming that the details have been shared. Our team will give it a look and reach out shortly. ^AB,Wed Nov 01 05:26:45 +0000 2017,Wed Nov 01 05:32:57 +0000 2017
690_689,AmazonHelp,690,689,@115850 @115821 @AmazonHelp @115851 Order# 3632693-6196346. You couldn't deliver EVEN AFTER A MONTH. You should be ashamed of yourself.,@115849 Please report this to our support team here: https://t.co/TdDksLo6Mf and we'll look into this. 2/2 ^HD,Tue Oct 31 21:45:15 +0000 2017,Tue Oct 31 21:54:32 +0000 2017
693_692,AmazonHelp,693,692,@AmazonHelp since when you stop giving 20% off videogame pre-orders (amazon prime members) im confused? why?,@115852 We still offer discounts on eligible physical game pre-orders. For further details on Prime benefits: https://t.co/80y2YnlQGJ ^MB,Tue Oct 31 22:10:21 +0000 2017,Tue Oct 31 22:16:00 +0000 2017
695_694,AmazonHelp,695,694,Just pulled another #Amazon delivery out of the bushes since the #amzl people can’t walk the extra 2 ft to my door. So tired of this.,@115853 I'm sorry we let you down! We'd like to make sure this is addressed. Please provide some details here: https://t.co/z6evtFsZI5 ^BN,Tue Oct 31 21:17:03 +0000 2017,Tue Oct 31 22:15:28 +0000 2017
1695_1692,AmazonHelp,1695,1692,@115821 my order hasn’t arrived (it was due 14th October). Can you help?,@116081 Hey Georgia! Sorry you haven't received your package. We'd love to help! What does the current tracking say on your order? ^AJ,Tue Oct 31 22:40:01 +0000 2017,Tue Oct 31 22:43:00 +0000 2017
1693_1696,AmazonHelp,1693,1696,@AmazonHelp but I can’t find the options to cancel or re-order?,@116081 I'm sorry for the delay! We'd like to take a further look into this with you! Please reach us here: https://t.co/hApLpMlfHN ^AG,Tue Oct 31 22:54:54 +0000 2017,Tue Oct 31 22:58:00 +0000 2017
1699_1697,AmazonHelp,1699,1697,@AmazonHelp I called customer service and was told my membership wouldn't be renewed. I was just charged today. How do I get a refund? https://t.co/SeoQUsA0VA,@116082 Canceling your Prime membership can be done here:https://t.co/MlOxxuNX7N. You'll be shown your estimated refund there. ^SK,Tue Oct 31 22:34:38 +0000 2017,Tue Oct 31 22:42:00 +0000 2017
1698_1700,AmazonHelp,1698,1700,@AmazonHelp Thats the thing I told customer service. I created a new email address for the Prime trial and forgot it. What can I do so I'm not charged?,@116082 Hey Corey! Even on the new account you made you can turn of the auto renew through the same link ^SK posted for you. ^AJ,Tue Oct 31 22:47:50 +0000 2017,Tue Oct 31 22:52:33 +0000 2017
1701_1704,AmazonHelp,1701,1704,@AmazonHelp You have to log in. I don't remember the email address I used. Can you look up the account by my bank information?,@116082 It would be best if you get in touch with us by phone or chat.use this link to do so:  https://t.co/hApLpMlfHN ^CH,Tue Oct 31 22:58:06 +0000 2017,Tue Oct 31 23:06:00 +0000 2017
1706_1705,AmazonHelp,1706,1705,"@AmazonHelp I have tried. It’s not allowing me to access my account to cancel my membership, I haven’t even used prime in almost 3 months.",@116083 I'm sorry to hear you're not able to access your account. Please use this link instead to contact us: https://t.co/zYVX1Qi29G. ^LH,Tue Oct 31 22:33:08 +0000 2017,Tue Oct 31 22:42:00 +0000 2017
1708_1707,AmazonHelp,1708,1707,"@115821 being charged for amazon prime &amp; when I go to cancel it, it’s saying I’m not a member😠😠😠",@116083 Hmm... We'd like to take a better look at this with you. Please reach us via phone/chat here: https://t.co/JzP7hlA23B ^KP,Tue Oct 31 19:08:41 +0000 2017,Tue Oct 31 19:11:00 +0000 2017
1710_1709,AmazonHelp,1710,1709,@AmazonHelp where can I chat with a support member for a false charge,@116084 I'm sorry you've encountered an unknown charge! We'd be happy to look into this with you here: https://t.co/hApLpMlfHN ^BL,Tue Oct 31 22:33:35 +0000 2017,Tue Oct 31 22:41:11 +0000 2017
1713_1711,AmazonHelp,1713,1711,@AmazonHelp if I add another adult to my Amazon household (with their own account) can they see my wishlists/photos/order history?,@116085 Thanks for reaching out to us! You can find info on adding household members here: https://t.co/i3uumZzaok ^MO,Tue Oct 31 21:21:34 +0000 2017,Tue Oct 31 22:41:00 +0000 2017
1715_1714,AmazonHelp,1715,1714,Seriously @115821? I order 6 identical washing up bowls and they are all being dispatched as separate orders? My phone is buzzing non-stop!,@116086 Sorry for the inconvenience! Check out how to manage your notifications here: https://t.co/DLN4bDuc5B ^SG,Tue Oct 31 21:14:40 +0000 2017,Tue Oct 31 22:40:00 +0000 2017
1718_1716,AmazonHelp,1718,1716,"I ordered some parts of my costume late, but my amazon has a map of the driver and they're like, 6 houses away.",@116087 I'm sorry for the long wait; what is your current order status showing when you review it: https://t.co/Y5jpI9gRhE? ^WM,Tue Oct 31 22:33:25 +0000 2017,Tue Oct 31 22:39:27 +0000 2017
1717_1719,AmazonHelp,1717,1719,"@AmazonHelp My package just got here. All good, thank you!","@116087 Thank you for keeping us posted, Rachael! ^BA",Tue Oct 31 22:40:54 +0000 2017,Tue Oct 31 22:44:33 +0000 2017
1722_1720,AmazonHelp,1722,1720,"@116090 Saying I preordered to early, terrible customer service. Won’t renew prime if this isn’t fixed.","@116088 I'm sorry for the frustration, Anthony! Can you tell me more about which pre-order bonuses are missing? ^EA",Tue Oct 31 22:16:51 +0000 2017,Tue Oct 31 22:36:00 +0000 2017
1721_1723,AmazonHelp,1721,1723,@AmazonHelp Never got the beta and now I’m being told I won’t get ANY of the other stuff. Including Last Jedi content and or bonus classes. Anything! :(,"@116088 We'd like to see what we can do to help. What date did you place the order on, and which version did you order? ^MB",Tue Oct 31 22:37:35 +0000 2017,Tue Oct 31 22:47:28 +0000 2017
1724_1725,AmazonHelp,1724,1725,@AmazonHelp Deluxe edition on September 16th. It definitely had the pre orders on the profile because that’s why I ordered. Also why I paid for Prime..,@116088 Could you link us to the page of the item on our website? This will allow us to take a closer look at all options. ^VB,Tue Oct 31 22:48:50 +0000 2017,Tue Oct 31 23:04:01 +0000 2017
1726_1727,AmazonHelp,1726,1727,@AmazonHelp Star Wars Battlefront 2 Elite Trooper Deluxe Edition Playstation 4 https://t.co/6K7WdDcY2P preorder info is in description. Thanks for help,@116088 Thanks for the link. We are not a participating retailer to receive the bonus content. Details: https://t.co/hJIrBtSMrl ^BE,Tue Oct 31 23:05:46 +0000 2017,Tue Oct 31 23:31:00 +0000 2017
1736_1734,AmazonHelp,1736,1734,Two fake items in one day. Time to cancel my Amazon Prime membership. @AmazonHelp,@116091 Oh no! I'm so sorry to hear this. Was the item sold by Amazon directly or Third-party seller: https://t.co/aaDyEz1VgE. ^LH,Tue Oct 31 22:21:42 +0000 2017,Tue Oct 31 22:35:00 +0000 2017
1735_1737,AmazonHelp,1735,1737,"@AmazonHelp Fulfilled by Amazon. It’s quite disturbing you’re selling counterfeit items, and can’t be trusted.","@116091 We'd like to look into this with you in real time, Bry. When you can, please ring or chat in with us: https://t.co/JzP7hlA23B ^BL",Tue Oct 31 22:41:11 +0000 2017,Tue Oct 31 22:47:00 +0000 2017
1741_1739,AmazonHelp,1741,1739,@115821 please spend time &amp; money to fix your app. Constant issues with it.,"@116092 Oh no, Barton! Have you tried uninstalling and re-installing the app? Perhaps a power cycle too? Please let us know. ^KL",Tue Oct 31 22:20:43 +0000 2017,Tue Oct 31 22:34:00 +0000 2017
1740_1742,AmazonHelp,1740,1742,@AmazonHelp I have. No luck.,@116092 Sorry you're still having trouble! What error are you seeing when you try to use the app? ^JP,Sat Nov 04 00:53:12 +0000 2017,Sat Nov 04 01:48:57 +0000 2017
1745_1743,AmazonHelp,1745,1743,My Kindle not working properly is breaking my heart! 😩💔,"@116093 Oh no! We'd like to help you with this, Kelly! Can you tell us more about what's happening with the Kindle? Thanks!  ^AJ",Tue Oct 31 22:30:23 +0000 2017,Tue Oct 31 22:32:29 +0000 2017
1744_1746,AmazonHelp,1744,1746,@AmazonHelp It’s not allowing me to update it to register my new amazon account. I read I’d have to do so manually. Thx 4 response.,@116093 No problem! You may need to deregister the Kindle from the old account. You can see how here: https://t.co/zyUJKBZObw ^AJ,Tue Oct 31 22:50:15 +0000 2017,Tue Oct 31 22:56:37 +0000 2017
1748_1747,AmazonHelp,1748,1747,@AmazonHelp that is not my apartment!!!!!!! This is the sending time!!!! Where is my package!!!!!!!!!! https://t.co/EIY6DZUCDC,"@116094 (2/2) Also, for your security, I'd recommend deleting the image, as it contains your tracking number. ^WT",Tue Oct 31 22:07:19 +0000 2017,Tue Oct 31 22:32:27 +0000 2017
1748_1749,AmazonHelp,1748,1749,@AmazonHelp that is not my apartment!!!!!!! This is the sending time!!!! Where is my package!!!!!!!!!! https://t.co/EIY6DZUCDC,@116094 I'm so sorry! We'd like to make sure this is addressed. Please provide some details here: https://t.co/KctVgMFvbp (1/2),Tue Oct 31 22:07:19 +0000 2017,Tue Oct 31 22:31:00 +0000 2017
1752_1750,AmazonHelp,1752,1750,@116096 Truly. This is the strangest vampire book I’ve ever received. 😜 cc @43760 @AmazonHelp #misship https://t.co/Zad7Az14Zg,@116095 I'm sorry you received an incorrect item. Have you checked out our return/replacement options here: https://t.co/FRsodhtXKJ? ^FJ,Tue Oct 31 22:06:28 +0000 2017,Tue Oct 31 22:29:27 +0000 2017
2533_2532,AmazonHelp,2533,2532,"@AmazonHelp 先日教えていただいたように、fireTVstickとルーターの両方を再起動してみたら、前回のようには途切れなくなりました！ありがとうございます😊今の所大丈夫ですが、あとは72時間TV当日に接続が切れてしまわないように祈るのみです...。
お礼と報告まで。 https://t.co/hS5VmxuIfX",@116312 わざわざご連絡をいただき、ありがとうございます。問題が改善されたようで、何よりでございます。万が一再度お困りのことがございましたら、ご遠慮なくお知らせください🙏 YM,Tue Oct 31 15:52:42 +0000 2017,Tue Oct 31 22:59:00 +0000 2017
2535_2534,AmazonHelp,2535,2534,@AmazonHelp ご丁寧にありがとうございます！トライしてみて改善されなければCSへご連絡します。返信いただけると思っていなかったので本当に嬉しいです！,@116312 こちらこそリプライいただきありがとうございます！ご様子を見ていただき、改善されない場合、お早目にカスタマーサービスにご連絡いただければと存じます。よろしくお願いいたします m(_ _)m HM,Sun Oct 29 11:43:59 +0000 2017,Sun Oct 29 11:54:00 +0000 2017
2537_2536,AmazonHelp,2537,2536,"@AmazonHelp ありがとうございます！
テレビにstickを接続しているのですが、WiFi接続がすぐに切れてしまい、数分しか見ることができません。","@116312 かしこまりました。端末、ルーター、モデムを再起動し改善するかお試しください。https://t.co/mUMGYDqPEM
改善しない場合、カスタマーサービスにお知らせください。https://t.co/NtNAX37Sr4 ET https://t.co/kp0Ug6rMsZ",Sun Oct 29 09:14:12 +0000 2017,Sun Oct 29 09:21:25 +0000 2017
2539_2538,AmazonHelp,2539,2538,@116313 fire TV stickを購入したのですが一瞬しかうつりません.°(ಗдಗ。)°.どうしたらいいのでしょうか...,@116312 アマゾンです。お困りの状況が特定できないのですが、エラーメッセージや画面の状況、操作方法など詳しい状況を教えていただけますか。ご利用端末はテレビですかPS4などのゲーム機でしょうか。ET,Sun Oct 29 08:50:17 +0000 2017,Sun Oct 29 08:55:53 +0000 2017
2544_2542,AmazonHelp,2544,2542,@AmazonHelp Wasn't tracked as sent via Royal Mail. I've emailed the seller.,@116314 How long has it been since you've e-mailed the seller? ^TR,Tue Oct 31 22:50:14 +0000 2017,Tue Oct 31 22:58:28 +0000 2017
2543_2545,AmazonHelp,2543,2545,"@AmazonHelp Just now, don't use Amazon much so didn't know the process if you don't receive an item","@116314 Please allow 48 hours for the seller to respond, Allen. Let us know how it works out and if we can help with anything else! ^CN",Tue Oct 31 23:17:22 +0000 2017,Tue Oct 31 23:25:31 +0000 2017
2547_2546,AmazonHelp,2547,2546,@AmazonHelp Yeah I sent you a DM too. Had an email saying when it had been dispatched but nothing since.,@116314 We're unable to view any account information via Twitter. What's the current tracking shown here: https://t.co/aaDyEz1VgE? ^AG,Tue Oct 31 20:19:21 +0000 2017,Tue Oct 31 20:26:00 +0000 2017
2549_2548,AmazonHelp,2549,2548,"@AmazonHelp Hi, I ordered an item on 18 Oct which said it would be delivered by 20 Oct and I still haven't received it. Can you help? Thanks",@116314 I'm sorry you haven't received it yet! Have you had an e-mail regarding the order? Please check junk/spam and let us know! ^TG,Tue Oct 31 19:24:59 +0000 2017,Tue Oct 31 19:38:28 +0000 2017
2551_2550,AmazonHelp,2551,2550,"@AmazonHelp I'm learning German, so I don't really mind between German/English. If I have to choose, I say German.","@116315 Du kannst bei den Kategorien ""Bücher"" oder ""Bücher Fremdsprachig"" auswählen, wobei ersteres deinem Wunsch entspricht. Gruß ^JS",Tue Oct 31 22:47:18 +0000 2017,Tue Oct 31 22:58:27 +0000 2017
2553_2552,AmazonHelp,2553,2552,"@116316 Hi. How can I restrict results to German language books, while searching titles on amazon.de?","@116315 Hi, just a question at the beginning - do you prefer answers in German or English? ^NW",Tue Oct 31 17:07:01 +0000 2017,Tue Oct 31 17:16:26 +0000 2017
2556_2554,AmazonHelp,2556,2554,"@AmazonHelp I made a same day ship mid Monday and it said it would deliver that day. It didn’t. Today it still says out for delivery, still no show.","@116317 I'm so sorry for the late delivery, Kimmie! Our carriers can deliver until 8 PM, please keep us updated on its arrival. ^BE",Tue Oct 31 22:51:14 +0000 2017,Tue Oct 31 22:58:27 +0000 2017
2555_2557,AmazonHelp,2555,2557,@AmazonHelp I allowed it well past 8 PM. I was never notified about any other delays,@116317 I'm sorry that it still hasn't arrived. Please contact us so that we can look into this together: https://t.co/hApLpMlfHN ^EA,Wed Nov 01 01:55:49 +0000 2017,Wed Nov 01 02:15:00 +0000 2017
2559_2558,AmazonHelp,2559,2558,"@AmazonHelp hello, I’m having an issue with a same day ship order.  Can you help me?",@116317 Hello! We'd love to help. Can you tell us a bit more about what's happening? ^EB,Tue Oct 31 22:18:10 +0000 2017,Tue Oct 31 22:49:00 +0000 2017
2561_2560,AmazonHelp,2561,2560,Erm @AmazonHelp I bought this item for £5.99... why am I only getting £1.67 back?! https://t.co/lb33bFOcW0,"@116318  We'd like to take a closer look into this refund for you. Please reach us at:https://t.co/JzP7hlA23B
 ^CC",Tue Oct 31 21:26:14 +0000 2017,Tue Oct 31 22:57:00 +0000 2017
2565_2564,AmazonHelp,2565,2564,@AmazonHelp Where is my order? https://t.co/pXnKSCo2ex,"@116319 I'm sorry it hasn't arrived! Please reach us here: https://t.co/e6dQwzp386, so we can look into available options. ^SJ",Tue Oct 31 22:36:21 +0000 2017,Tue Oct 31 22:54:27 +0000 2017
2568_2566,AmazonHelp,2568,2566,"Hey @115821, why is your Prime 2-day delivery not arriving until Monday? Is there a holiday I don't know about?","@116320 Most items are readily available for shipping; however, some aren't and may have a longer processing time than others. ^QJ",Tue Oct 31 22:40:57 +0000 2017,Tue Oct 31 22:50:35 +0000 2017
2570_2569,AmazonHelp,2570,2569,"@AmazonHelp yes i did,but amazonuk is not doing the refund process.if they do it .i will get the money","@116321 I would like someone from our team to take a look into this for you, Sanu. Please reach out here: https://t.co/QtC7bueYoR ^LA",Tue Oct 31 22:16:47 +0000 2017,Tue Oct 31 22:50:35 +0000 2017
2572_2571,AmazonHelp,2572,2571,@AmazonHelp i mailed amazonuk so many time. but i havent got any progress.customer care just saying thats in the billing section.no i havent got refund,@116321 Have you had a chance to speak with your bank regarding the refund? ^EA,Tue Oct 31 22:00:12 +0000 2017,Tue Oct 31 22:13:52 +0000 2017
2574_2573,AmazonHelp,2574,2573,@AmazonHelp and redund issued on 13th https://t.co/1uydlorGCp no sing of my money and amazonuk just saying its in the billing department.no signof devlp,@116321 When you last contacted us what information did we provide? Have you spoken with your bank to see if they have the refund? ^LR,Tue Oct 31 21:43:12 +0000 2017,Tue Oct 31 21:58:00 +0000 2017
2577_2575,AmazonHelp,2577,2575,@115830 amazonuk took money without any https://t.co/w25zXi7DYp they are not giving it back nor giving clear statement of my refund proces,"@116321 I'm sorry for the frustration! Without giving personal/account details, could you tell us a bit more about what's going on? ^DG",Tue Oct 31 21:17:08 +0000 2017,Tue Oct 31 21:39:30 +0000 2017
2580_2578,AmazonHelp,2580,2578,the @amazonhelp queue is clueless on Amazon Household,"@116322 I'm sorry for the frustration! Without giving account/personal details, can you please provide us with more info? ^AC",Tue Oct 31 22:46:16 +0000 2017,Tue Oct 31 22:49:00 +0000 2017
2581_2582,AmazonHelp,2581,2582,"@AmazonHelp I've been in the prime queue, kindle queue, the echo queue, and now on hold again.",@116322 We'd like to look deeper into this issue. Please provide us with more information here: https://t.co/wpDDiHUP4k. ^LH,Tue Oct 31 22:50:46 +0000 2017,Wed Nov 01 21:42:28 +0000 2017
2584_2583,AmazonHelp,2584,2583,@AmazonHelp Well ok but @116324 said it’s been dlvd so I can’t see how they will bother to deliver it now! I think they have washed their hands of it,@116323 We're definitely here to help! Please reach out to us by phone here: https://t.co/JzP7hlA23B ^SE,Tue Oct 31 22:11:58 +0000 2017,Tue Oct 31 22:48:00 +0000 2017
2586_2585,AmazonHelp,2586,2585,@116324 not dlvd after 1 wk. U lied 2 @AmazonHelp saying left in safe place on Fri. Yesterday u said wld be dlvd 24-48hrs. Sort this now!,@116323 I'm sorry your order hasn't arrived yet! Please let us know if you haven't received it within 48 hours. ^EB,Tue Oct 31 20:28:23 +0000 2017,Tue Oct 31 20:48:00 +0000 2017
2591_2587,AmazonHelp,2591,2587,@AmazonHelp No on the card. It works only half the time. Yes on USPS. They say my delivery person won’t deliver anything over 30 lbs. just sends it back,"@116325 We'd like another chance to look into this. Please reach out by phone or chat: https://t.co/hApLpMlfHN

Please keep us updated. ^FJ",Tue Oct 31 22:24:18 +0000 2017,Tue Oct 31 22:45:00 +0000 2017
